Leading Chord,Length,Following Chord,Length,Modulation (in half steps),count,SongId
IMaj7,4,Dim,4,1,1,1
V7,4,Dim,4,3,1,1
V7,2,Dim,4,0,1,1
V7,4,I6,4,0,2,1
V7,4,I7,4,0,1,1
V7,4,I7,4,0,2,1
I6,4,ii7,4,0,1,1
V7,1,ii7,2,-1,1,1
V7,2,ii7,2,-2,1,1
vi7,4,ii7,4,0,1,1
Dim,4,iii7,4,1,1,1
I6,4,iii7,3,0,1,1
IMaj7,4,iii7,3,0,1,1
Dim,4,IMag/V,4,0,1,1
iii7,3,IV,1,0,1,1
IMaj7,4,V7,4,5,1,1
ii7,4,V7,4,0,1,1
ii7,2,V7,2,0,3,1
IMaj/V,4,V7,4,0,1,1
iii7,3,V7,1,1,1,1
IV,1,V7,2,-3,1,1
V7,2,V7,4,0,1,1
V7,2,V7,2,5,1,1
vi7,4,V7,4,0,1,1
Dim,4,vi7,4,0,1,1
iii7,4,vi7,4,0,1,1
IMaj7,4,iii7b5,2,0,1,2
iii7b5,2,V7b9,2,-2,1,2
V7b9,2,ii7,4,2,1,2
ii7,4,V7,4,0,3,2
V7,4,I6,4,0,3,2
I6,4,ii7b5,4,-5,2,2
ii7b5,4,V7,4,0,1,2
V7,4,ii7,2,5,1,2
ii7,2,V7,2,0,4,2
V7,2,IMaj7,4,0,4,2
IMaj7,4,ii7,2,5,1,2
ii7,2,V7,2,0,1,2
V7,2,I6,4,0,1,2
I6,4,iv6,4,-5,1,2
iv6,4,IMaj7,4,0,1,2
IMaj7,4,ii7,2,2,1,2
ii7,2,V7,2,0,2,2
V7,2,V7,4,5,1,2
V7,4,ii7,2,5,1,2
IMaj7,4,biii7,4,0,1,2
biii7,4,ii7,4,0,1,2
V7,2,ii7,4,5,1,2
I6,4,V7,4,0,1,2
V7,4,I6,2,-5,1,2
I6,2,ii7,2,0,1,2
ii7,2,iii7,2,0,1,2
iii7,2,iv6,2,0,1,2
iv6,2,iii7,2,0,1,2
iii7,2,vi7,2,0,1,2
vi7,2,ii7,2,0,1,2
I6,4,ii7,2,0,1,2
V7,4,ii7,4,4,5,3
ii7,4,V7,4,-4,4,3
ii7,4,ii7b5,2,2,1,3
ii7b5,2,V7b5,2,0,1,3
V7b5,2,ii7,4,-2,1,3
ii7,4,ii7b5,2,6,1,3
ii7b5,4,V7b9,4,0,1,3
V7b9,4,ii,4,2,1,3
ii,4,ii7,2,0,1,3
ii7,2,V7,2,0,1,3
V7,2,ii7b5,4,0,1,3
ii7b5,4,V7b9,4,0,1,3
V7b9,4,I6,4,0,1,3
I6,4,ii7b5,2,-3,1,3
ii7b5,2,V7b5,2,0,1,3
V7b5,2,ii7,4,-2,1,3
ii7,4,ii7b5,4,2,1,3
ii7b5,4,ii7b5,4,0,1,3
ii7b5,4,V7#11,4,-6,1,3
V7#11,4,V7#11,4,0,2,3
V7#11,4,ii7,4,4,1,3
ii7,4,ii7,4,0,1,3
ii7,4,V7#11,4,0,1,3
V7#11,4,iiMaj7,4,5,1,3
iiMaj7,4,ii7,4,0,1,3
ii7,4,V7#9,4,6,1,3
V7#9,4,V7#9,4,0,1,3
V7#9,4,IMaj7,4,-6,1,3
IMaj7,4,IMaj7,4,0,1,3
IMaj7,4,ii7b5,4,-3,1,3
ii7b5,4,V7b9,4,0,1,3
,,,,,,
,,,,,,
,,,,,,
IMaj7,2,Dim,2,0,1,100
Dim,2,ii7,2,0,2,100
ii7,2,V7,2,0,2,100
V7,2,iii7,2,0,1,100
iii7,2,Dim,2,3,1,100
Dim,2,ii7,2,-3,1,100
V7,2,IMaj7,2,0,2,100
IMaj7,2,V7,2,5,1,100
IMaj7,2,iv6,2,-5,1,100
iv6,2,IMaj7,2,0,1,100
IMaj7,2,V7,2,0,2,100
V7,2,I,2,0,1,100
I,2,V7,2,0,1,100
I,2,iii7,2,0,1,100
iii7,2,vi,2,0,1,100
vi,2,V7,2,4,1,100
V7,2,V7,2,5,4,100
V7,2,IMaj7,4,0,2,100
V7,2,ii7,2,0,1,100
,,,,,,
i7,4,VI9,2,0,1,101
VI9,2,V7b9,2,0,1,101
V7b9,2,i,2,0,1,101
i,2,V7b9,2,0,1,101
V7b9,2,VIMaj7,4,0,1,101
VIMaj7,4,ii7b5,2,0,1,101
ii7b5,2,V7b9,2,0,2,101
V7b9,2,i6,2,0,1,101
i6,2,V7,2,-4,1,101
V7,2,IMaj7,4,0,3,101
IMaj7,4,ii7b5,2,4,1,101
V7,2,IMaj7,2,0,1,101
IMaj7,2,V7b9,2,4,2,101
V7b9,2,i6,4,0,2,101
i6,4,ii7,2,3,1,101
ii7,2,V7,2,0,2,101
IMaj7,4,ii7,2,0,1,101
ii7,2,V7sus4,2,0,1,101
V7sus4,2,IMaj7,4,0,1,101
IMaj7,4,ii7,2,4,1,101
IMaj7,4,VI9,4,5,1,101
VI9,4,V7b9,4,0,1,101
V7b9,4,i7,4,0,1,101
,,,,,,
ii7,2,V7,2,0,7,102
V7,2,iii7,2,0,2,102
iii7,2,V7,2,2,1,102
V7,2,ii7,2,-2,2,102
V7,2,IMaj7,2,0,1,102
IMaj7,2,iii7,1,0,1,102
iii7,1,biii7,1,0,1,102
biii7,1,ii7,2,0,1,102
ii7,2,ii7,1,3,1,102
ii7,1,V7,1,0,2,102
V7,1,ii7,2,4,1,102
V7,2,ii7,2,5,2,102
iii7,2,V7b9,2,2,1,102
V7b9,2,ii7,2,-2,1,102
V7,2,V7,2,0,1,102
V7,2,ii7,1,5,1,102
V7,1,I6,4,0,1,102
I6,4,IVMaj7,2,0,1,102
IVMaj7,2,Dim,2,6,1,102
Dim,2,I/V,2,-6,1,102
I/V,2,V7,2,2,1,102
V7,2,IMaj7,4,0,2,102
IMaj7,4,ii7b5,2,-3,1,102
ii7b5,2,V7b9,2,0,1,102
V7b9,2,i,2,0,1,102
i,2,iMaj7,2,0,1,102
iMaj7,2,ii7,2,-2,1,102
IMaj7,4,ii7,2,0,1,102
V7,2,I6,2,0,1,102
I6,2,bVII6,1,0,1,102
bVII6,1,I6,1,0,1,102
,,,,,,
I,4,V/IV,4,0,1,103
V/IV,4,iii7,4,0,1,103
iii7,4,V7b9,4,2,1,103
V7b9,4,ii7,4,-2,1,103
ii7,4,V7,4,0,3,103
V7,4,I,4,0,1,103
I,4,ii7,2,0,1,103
ii7,2,V7sus4,2,0,3,103
V7sus4,2,IMaj7,4,0,3,103
IMaj7,4,ii7,2,0,4,103
V7sus4,2,ii7b5,4,-3,1,103
ii7b5,4,V7,4,0,1,103
V7,4,IMaj7,4,0,1,103
ii7,2,V7,2,0,1,103
V7,2,i,2,0,1,103
i,2,iMaj7,2,0,1,103
iMaj7,2,ii7,4,-2,1,103
V7,4,V7,4,0,1,103
V7,4,ii7,4,5,1,103
V7,4,I,4,1,1,103
,,,,,,
i,4,ii7b5,2,0,2,104
ii7b5,2,V7b9,2,0,2,104
V7b9,2,i,4,0,1,104
V7b9,2,i,2,0,1,104
i,2,iMaj7,2,0,1,104
iMaj7,2,i7,4,0,1,104
i7,4,ii7b5,4,-5,1,104
ii7b5,4,V7,4,0,1,104
V7,4,Aug7,4,0,1,104
Aug7,4,V7,4,-2,1,104
V7,4,V7,4,5,2,104
V7,4,ii7,2,5,1,104
ii7,2,V7,2,0,1,104
V7,2,IMaj7,2,0,1,104
IMaj7,2,IVMaj7,2,0,1,104
IVMaj7,2,ii7,4,4,1,104
ii7,4,bII7,4,0,1,104
bII7,4,i,4,0,1,104
,,,,,,
I,2,II,2,0,1,105
II,2,IV,2,0,1,105
IV,2,I,2,0,2,105
I,2,I,4,0,1,105
I,4,ii7,2,-3,1,105
ii7,2,V7,2,0,5,105
V7,2,i,3,0,1,105
i,3,i7,1,0,1,105
i7,1,IVMaj7,2,3,1,105
IVMaj7,2,V7,2,0,1,105
V7,2,I,3,0,1,105
I,3,V7,1,-3,1,105
V7,1,i7,2,0,1,105
i7,2,V7,2,-2,1,105
V7,2,IV,2,5,1,105
I,2,ii7,2,-3,1,105
V7,2,i,1,0,2,105
i,1,V,1,3,2,105
V,1,IVMaj7,1,0,2,105
IVMaj7,1,iii7,1,0,2,105
iii7,1,ii7,2,0,2,105
V7,2,IMaj7,2,0,1,105
IMaj7,2,V7,2,5,1,105
V7,2,ii7,2,4,1,105
V7,2,I,4,0,1,105
,,,,,,
ii7,4,V7,4,0,4,106
V7,4,IMaj7,4,0,4,106
IMaj7,4,IMaj7,4,0,3,106
IMaj7,4,ii7,4,-2,2,106
IMaj7,4,ii7,4,4,1,106
IMaj7,4,ii7,2,0,1,106
ii7,2,V7,4,0,1,106
